file_name,resolved_path,stats
0009.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0009.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854574, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=114, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0008.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0008.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855455, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=102, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0010.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0010.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854575, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=127, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0017.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0017.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855407, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=211, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0004.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0004.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854569, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=53, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0009.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0009.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855399, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=114, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0003.ihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0003.ihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855450, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=41, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0016.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0016.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854581, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=199, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0011.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0011.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855401, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=139, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0002.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0002.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854567, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=29, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
